content,rating
"2년째 잘 쓰고있는 기초템
촉촉한데 흡수되면 깔끔하고 끈적이지않인 사계절내내 애용한제품 정말 인생템이다 ㅠㅠㅠㅜ
가격대비 오래쓰고 향도 좋다 .
이니스프리 기초템  다 나랑 잘맞는듯",5
이거 쓰고 피부에 나던 좁쌀여드름 같은게 많이 없어졌어여!추천이에용,5
여름에 사용하기 좋은 가벼운 제형의 로션이에요!,4
"너무 끈적거리고 답답했어요 좀 쓰다가 버렸습니다 
다행이 여드름은 안났지만요,,, 별로였습니다,,",2
"이거랑 스킨이랑 겨울나다가 중성피부에서 지성됐어요 그만큼 수분충전이 안됐다는 소리죠..
바를땐 좋았는데 기능은 안좋은거같아요",2
"ㅇ..왜 이거 단종이죠..? 여름때도 각질생기는 건성이라 작년 여름에 이 라인 스킨 로션 같이 정말 잘썼는데ㅜㅜㅠ 순하고 향도 괜찮고 약간 묽어서 여름에 건성인 저한테 딱 괜찮았는데,. 묽기때문에 좀 흐르는 감은 있긴 했지만 어쨌든 아쉽네요 이니스프리에서 더 좋은 상품 나오길 기대할게요",5
단종이군요ㅠ처음으로 사서 썼던 로션인데 건성이라 겨울에는 쫌 가벼운 느낌이였구요 봄.여름.가을에는 너무 좋았어요!!향을 중요시해서 그린티향이라 좋았고 잘 썼던 것 같아요 다만 단종이 되서ㅠ,4
제 피부가 중성인데 얼굴 씻고 나서 바로 바르면 업청 촉촉하고 매끈해져서 스킨로션으로 딱 좋아요,5
가성비갑 너무 기름지지도 않고 수분감 적당,5
4통째 쓰는중 짱좋아요,5
이제품을 자주 사용하는데 제가좀 건조한편인데 건성용은 나중에 끈적거리는 느낌이 있어서 이걸루 바꾼거거든요.묽고 착 바르면 촉촉해지는 느낌이 들어요. 처음엔 흡수가 안되서 번들거리고 겉돌지만 좀 지나면 번들거림이 사라지고 흡수된느낌을 받을 수 있어요. 근데 단종이라니 아쉽네요ㅜㅜ,4
진짜 그냥 무난해요 있으면 쓰는데 굳이 또 살꺼같진 않은..,2
바르자마자 촉촉+유분감 있음 제품이 흡수된디는 느낌보다는 겉에서 번질번질거리면서 유분감 도는데 이게 한 1분지나면 싹 말라서 유분감 사라짐 그러면서 얼굴이 좀 땡기는데 그래서 한번 더 발라줘야함 유분감 없다는 분 있는데 이거 유분감 있는거에요..,3
어떤 제품을 쓰고 피부가 뒤집어졌을때 다시 되돌려준 제품이에요 산뜻하고 무난해서 좋아요,4
아니 왜갑자기 단종이죠????! 지금있는거 다쓰면 재구매하려고했는데ㅠㅜㅜ 제 각질을 없애준 아이,5
"봄가을에 쓰기 좋아요 여름엔 무겁고, 겨울에는 보습력이 떨어지는... 쓰기무난한 로션이었는데, 단종되었다니 아쉽네요",3
무난하고 향이좋아요.,4
"겨울엔 부족할 거 같고 여름에 쓰기 딱 좋은 제품인 거 같다 
촉촉하고 흡수 빠르게 된다 산뜻함
단종이라서 아쉽다",4
산뜻하게 바르기 좋은 제품이였는데ㅜㅜ 단종이라니ㅠㅠ 하지만 제 피부엔 여름에도 살짝 속이 건조하던 제품이였습니당,3
"작년에 타사의 수분크림을 기초로 잘 썼는데, 
파데를 올리면 수분크림과 떡져서 벗겨지는 기분이 들더라구요.
그래서 기초를 크림이 아닌 로션으로 바꿔야겠다고 생각한 차에,
그린티라인 로션이 눈에 들어와 구매했습니다.
(이니스프리에 다른 제품 사러 갔다가)

지성피부에 딱인게, 
피부에 금방 흡수되고, 피부에 착 붙어서 화장전에 사용하기에 좋더라구요.
무엇보다 피부에 자극이 없어서,
기초 잘못쓰면 금방 트러블 나는데 무사히 잘 쓰고 있답니다.
펌프형이나 튜브형이 아니라 양조절이 불편하다는 단점이 있습니다.
그래서 굿굿으로 점수를 조금 내렸어요.

지금 반병 넘에 사용중인데 잘 맞고 좋아서 재구매할 생각이었는데..
단종됐네요ㄷㄷ",4
"왜단종이지?
좋고 잘쓰며들고산뜻한느낌에 단점도없는제품인데 ㅜㅜ아쉽다ㅜㅜ",5
여름에 쓰기에 딱 좋아여,4
"이제품 지금 쓰고 있는데 단종이라서 너무 아쉽네요..완전 좋았는데 ㅠㅠㅠ 아쉬워요!",3
"이거 단종됐네요. 몇 병 썼는데, 보습력 어느 정도 있고 트러블 안나서 잘 썼었음.",4
단종이네요ㅠㅠ 무난하게 잘 사용했었습니다!,3
"냄새도 좋고 촉촉함이 적당해서 좋았어요!
제 취향이라 재구입까지 했었던 제품이에요!!",4
냄새가 별로고 여드름 폭탄나서 파데때문인줄 알고 파데 버리고 그랬는데 얘가 범인 아직도 흉터가 남았다,2
항상 아침에 바르고 다니는데 진짜 촉촉하고 여름에 바르면 진짜 시원해요,5
"같은 아모레퍼시픽 거여서 에뛰드 순정, 싸이닉과 유사하네요. 그래도 촉촉하고 좋아요! 한번씩 피부가 뒤집어지던 날은 좀 따가워요",4
처음에는 냄새가 익숙치 않아서 뭐지?했었는데 사용하다 보니까 냄새도 익숙해지고 촉촉해서 너무 좋더라구요. 흡수되는데 약간시간이 걸리는 느낌?은 있었어요. 바르고 흡수를 좀 시켜줘야하긴 하지만 촉촉하고 너무 좋아요.,4
"여름에 사용하기좋은거같아요!
바르면시원하고촉촉하고좋은거같아요!
2-3통씩여름되면사용하는데 좋아요!
여름되면또재구매의사있어요.",4
촉촉하고 트러블 안나고요 순해서 좋아요,4
가격대비 참 좋은데 건조해용 ㅜ 수분크림 필수,3
물같은 제형이 좋은 로션! 좋기만한데...,4
별로였어요.. 촉촉한 느낌이 별로 안들고 물가같은 제형... ㅠㅠ,2
"기초제품 처음 접할때 쓴 제품이었어요
지성이라고 했더니 추천해준 제품이었는데
아.. 나한테 개기름이 많아서 그런가 그냥 쓰기엔 무난했는데 기름 폭발에 여드름은 잠재워 지지않았던..
그렇다고 단점이 있는 것도 아니고 그냥 무난하게쓴...
제품",4
스킨도 괜찮고 로션도 괜찮아요,3
밸런싱 라인이 유난히 안맞아요ㅠ 그린티쓰다가 여름에 유분올라올때 바꿨었는데 알콜성분이 들어있는지 각질일더니 좁쌀일어났어요,3
"스킨이랑 같이사용하는데 냄새도 좋고 수분감도 있고
이니스프리 짱",4
"스킨과 로션 같이 사용했어요
순한거 같고 냄새도 나쁘지않았고 촉촉하고 피부트러블도 안나고 되게 괜찮았어용",4
"그린티 스킨로션제품은 여러통째 사용중인데
민감성피부인데도
트러블도 안나고 흡수도 잘되고 
향도 진하지 않아 좋아요",5
촉촉하고 트러블없고...bb,4
스킨같이 촉촉한 마무리감이고 무난하게 잘쓰고 있어요,4
"스킨과 마찬가지로 로션도 괜찮아요
무난의 연속이긴 마찬가지 ㅎㅎ

그냥 이니스프리 그린티 라인은 무난한거 같아요
전체적으로 그냥 무난무난무난 ㅋㅋ",3
보습은 모르겠고 무난하게 막 쓰기 좋은타입.,3
"로션이 필요해서 샀었는데 굉장히 묽었던 타입이고 산뜻했어요 아침에 세수하고 이제품 그냥 챱챱 발라주기 좋았던 제품!
딱히 큰 효과는 없었고 얼굴이 산뜻해졌다 라는것만 괜찮았어요!그냥 챱챱 바르실 로션 필요하다면 추촌드릴게요~",4
촉촉함도 중간 보습력도 중간 전체적으로 딱히 뛰어난 효과는 없는것같음 그냥 무난한 제품? 근데 이상하게 계속 사게됨ㅋㅋㅋㅋㅋ굿굿,5
스킨이랑 같이 삿는데 딱히.. 무난무난한듯 진정은 기분탓??ㅎㅎ 여드름 피부면 추천! 딴 것보단 낫겠죠?,3
정말 쏘쏘 향도 향긋하니 좋구만,3
순하고 촉촉함 그린티잘맞는 분들은 레어템,5
순하고 촉촉하고 향도 산뜻하니 좋으다,4
스킨보다 용량이 적게 나와서 다른 브랜드꺼 쓰면 항상 로션이 남았는데 로션이 스킨보다 적게 나와서 좋았어요!! 제 인생템!,4
저는 이거 쓰고 피부 완전 뒤집어져서 한번도 피부과 가본적 없는데 주위에서 피부과 가보라고 엄청 그랬어요ㅠㅠ 제 피부 진짜 예민한것도 아니고 막 발라도 괜찮은데 유일하게 트러블 났던 아이에요...흑,2
여드름 전용 스킨 로션을 써도 안 없어지던 여드름이 하나 둘씩 없어지는 기적을 보았습니다 와 그 뒤로 이것만 쓰는데 아무리 지성피부라도 겨울엔 유수분 부족이 심해서 건조한 느낌이 들었지만 세럼을 추가해서 보습을 따로해주니 짱이에요  성분 따져가며 화장하니깐 이제 여드름도 잘 안올라오고 이것만 세트로 3통째,5
이 그린티 라인을 그냥 기초로 박았음 저는 다른거 안씀 ㅠㅜ,5
냄새가 너무 좋아요 ㅠㅠ 묽은 편에 속하고 바르고나면 산뜻한 제품이라서 피부 예민한 분들이 쓰셔도 괜찮은것같아요! 양이 적지도 않아서 좋아여~,5
피부가 민감성이라서 로션을 바르면 따갑고 뜨거운느낌때문에 아기들 로션만 발랐었는데 이거 써보니까 발라도 따가운느낌안들고 트러블도 안나고 순한로션인것같아요! 너무 좋아용~~,5
묽고 산뜻해요!! 크림 안 발라주면 왕건조합니다ㅠㅠㅠㅠㅠ 악지성 남성분들? 이 사용하시면 좋을듯,3
흐어억 너무 건조해요,2
트러블도 안나고 향도좋아서 다 비운제품,4
여름에 좋아요..흡수잘되고 순해서 트러블도 안올라오지만 겨울에 쓰기에 좀 건조하네요.,4
쓰면 촉촉하다가 좀 지나면 보송해져서 좋구 트러블은 난적이 없던것 같아요! 암튼 존좋,4
반응이 별로네요 전좋았는데 .. 지성분들 건성분들 상관없이 쓰셔도 될 것 같아요  ! 촉촉하고 마무리감이 산뜻하니 좋네용,5
"약간 유분감 있구
건성인 분들 추천합니당",4
이거 촉촉하고 피부에 잘만아고 좋아요,4
"건성피부 정말  추천하고 가볍게바르기 정말
좋은제품인것같아요",4
향은 너무 좋은데 너무 답답해요ㅜㅜ,3
건성에겐 짱인제품!,4
유명한 로션이라 유투브에서 추천받구 구매해 봤는데 건성피부인 저에게 딱 맞는 제품인거 같아요 ㅎㅎ,4
이거 되게 밤 형태의 보습크림 바르는 것처럼 되게 세미매트하게 발리는데 막상 흡수는 또 잘 되고 피부 만지면 되게 보들보들하고 보송보송한데 와중에 또 촉촉한...? 아무튼 엄청 신기하고 효과도 짱짱인 제품이었어용,5
"이 라인의 스킨 에멀전 크림을 다 사용했고
특히 이 에멀전이 촉촉한 느낌을 많이 받았어요
수분으로 꽉 채워지는 것 같아서 잘 썻던 제품!",4
"정말정말 가볍구 일단 끈적거리지도 않아요
미스트랑 같이 사용하는데 개인적으로  끈적거리면 다시 세수해버리거든요...근데 이거 시작하고나서부터는 그런일이 없습니당",5
"가을 정도 되는 날씨에 사용하기 좋은 것 같음. 겨울에는 더 보습력이 뛰어난 제품 전에 사용하면 좋고. 보습 지속력도 평균 이상인 것 같고, 트러블 유발도 없었고 전반적으로 평균 이상의 괜찮은 제품",3
이거 진짜 잘쓰고있었는데 단종됐네요ㅜㅜㅜㅜ... 촉촉하고 유분기는 별로없어서 4계절 내내 잘썼어요!,4
으잉 단종인가요? 묽고 순하고 부드러워서 완전 잘쓰고 있었는데 왜때문에ㅠㅠ 아쉽네요.. 향도 은은해 맘에 들고 촉촉해서 좋아요!,4
두 통째 쓰는 중인 세라마이드가 잘 맞아서 햄벅한 새럼이었는데 웨때무네 단종...? 드디어 로션 정착템을 찾아서 기뻐하고 있었는데....? 더럽게 예민해서 사람들이 좋다고 하는 것도 막 못쓰는 인간인 나에게 이 무슨 청천벽력....? 다시 유목민 생활을 시작해야 하는건가,4
굳세라 토너와 함께 쓰면 정말 좋은 제품~ 단종되서 아쉽ㅜㅜ 그리 무겁지도 가볍지도 않아 여름에 쓰기에도 좋음~ 그리 끈적거리지 않으면서 흡수도 잘 되어 괜찮음,4
딱히 좋은 점도 나쁜 점도 없는 무매력이 매력인 제품! 개인적으로 기초는 아무 일도 안 일어나면 상타는 쳤다고 생각한다 건성에게는 살짝 건조한 감이 있는데 세럼도 같이 사용하면 건조함도 해결할 수 있다! 더 좋은 로션을 찾아 떠나보고 없으면 정착할 예정...,4
무겁지도 않으면서도 잘썻던제품이에요 속당김같은건한번도느낀적없구요 전로션이랑같이썻ㄴ데 화장잘먹어서좋앗던거같아오,4
"향이 허브향인데 좋음
안끈적거리고 가벼운느낌이고 계속 쓸만하다",5
기초는 무매력이 매력이라 했다. 그렇게 끈적이지도 않지만 보습이 좋다고 느끼지 못했다. 향이 나만 그런가 한약..?인삼? ㅠㅠ이 생각난다. 내 것이 이상해서 그런걸까 그래서 쏘쏘 드립니다,3
"이게 뭔가 발릴때 순하게 발리는 느낌 ? 뭔가 
그런 느낌이 들어서 토너버가는 에멀젼을 엄청 썻음 ㅎㅎㅎ",4
"두달정도 쓰고 남기는 리뷰,
나름 피부가 편안하고 아예아무것도 안나는건 아니지만 이 추위에 견디게 해준다는 느낌을 받음",4
"처음에 짱 좋다고 느꼈는데 이 제품 역시 변화가 서서히 찾아온다.
2~3개월 정도 쓰니  피부에 뭐가 자꾸 나기 시작함.
예전에 안 맞았던 제품과 성분 비교해보니 세라마이드3;세라마이드엔피 성분이 나랑 안맞는 듯함.
대부분 약국 화장품 비슷헌 이미지로 마케팅하는 제품들이 모두 이 성분이 많이 들어가있었음....
참고하시길...",1
향이 좋고 순했음,4
단종되서 너무 아쉽지만 쓰는 내내 좋았음,3
"건성이 쓰기엔 좀 부족한 느낌.
이것만 바르고 마무리하면 피부가 금방 푸석해짐",3
"이거 로드샵 중 최고인거 같아요ㅠㅠ
건성인 나에게 한줄기 빛!",5
이거 쓰고 피부에 울긋불긋 다일어나서 고생 엄청 했네요ㅠㅠ 일단 냄새도 정말 별로고 보습도 별로 였어요 피부에 트러블 올라오자마자 엄마 줬는데 엄마는 잘쓰시더라구요,1
한 때 잘썼었는데 요즘 내 피부가 안좋은건지 자꾸 트러블 나는 것 같아요ㅠㅠ,3
"왜 굳세라 라인 단종인거죠..!?제품 자체도 매우 순해서 트러블 나는것도
없고 이라인의 토너랑 크림과의 궁합도 되게 좋아서 가을겨울철에 딱
쓰기좋은 보습라인이었는데ㅠㅠㅠㅜ다시 런칭된다면 재구매 의사
있어요!!!",4
"대학생때 저렴한 가격으로 샀는데 트러블도 안나고 촉촉하기는 함

시간 지난면 속 건조함까지 잡기에는 무리인듯.  
이거 같은라인 크림도 비슷함.
속건조까지 잡고 싶으면 닥터자르트꺼 추천함",3
제가 트러블도 있고 민감한 피부라 기초 제품은 정말 많이 보고 골라요! 근데 글로우픽 리뷰에 홀리카 굳세라 라인이 하도 유명해보여서 구매해봤는데 정말 순하고 피부 장벽을 단단하게 만들어주는것 같아요!,5
"아니 왜 단종시키는 이유가뭐죠?
이거 글로우픽 랜덤박스에서도 사은품으로 나왔던건데 추천수 많아서 글로우픽에서도 선물한거아닌가요? 사람들이 안사용해서 단종되는게아닌것같은데 성분에 문제가 생겼나요?
지금도 밤낮으로 매일 굳세라 토너 에멀전 로션바르고있는뎈ㅋㅋㅋ당황스럽습니다
일단 가지고있는건 알차게 쓸만큼 만족스런제품입니다
재구매의사가 많은데 단종이네요;

+수퍼시리즈로 새로나왔네요 갈아탑니다",4
딱 무난하게 쓸만한 로션이요. 로션이 갑자기 떨어져 급하게 여행가며 샀는데 생각보다 너무 좋았어요. 살짝 묽은 제형이라 흡수가 빨라요. 근데 저는 건성이라서 이것만 바르기엔 조금 부족해서 크림을 항상 발라줘야했네요. 여름즈음에 무난하게 쓰기 좋은 로션이에요. 건조할 때는 힘들 것 같아요.,4
"봄가을의 경우는 아침저녁으로 바르고 좀 촉촉한 선크림을 바르는데 중건성 피부에도 오후까지 당김없이 촉촉하다. 
단 초겨울이나 잠깐 상태안좋아질때는 엑스트라로 크림이나 영양에센스도 발라주는편이다
무난하고 트러블없이 잘맞는데 촉촉해서 넘 좋앗음",4
홀리카홀리카 스킨케어라인은 다 저랑 잘 맞는 것 같아요. 산뜻하고 촉촉하게 보습 잘 되고 트러블도 안올라와서 좋네요ㅎㅎ 단종이라서 다 쓰면 리뉴얼로 사야되나 고민이네요..,4
토너랑같이사용해보고 남자친구한테도추천해줬는데 너무너무 좋다고  지금도잘사용하고있어욤ㅎㅎ!,4
같은 라인의 토너와 마찬가지로 촉촉함.  가을 겨울에 쓰는게 좋음. 나는 가을겨울에 촉촉한 로션을 쓰면 기름은 많이 뜨는데 촉촉함은 정작 부족하다고 늘 느꼈었는데 이건 겉돌지 않아 기름이 뜨지 않고 속이 촉촉함. 단종되서 슬픈데 리뉴얼이 더 돟을 것이라 믿어본다..,4
글로우픽 보고 삿는데 넘 무난무난.. 생각보다 금방금방써요!! 겨울에 잘 썻습니당,4
"로션 다 떨어져서 급하게 샀는데
생각보다 너무 만족스러웠던 제품
쫀쫀하고 너무 기름지지도 않고 적당히 수분감을 채워줬던거같아요. 리뷰 쓰러와서 단종인거 알았네요..
대체 왜..?",4
"장점도 단점도 크게 없어 무난하게 쓰기 좋은 제품!
전반적으로 촉촉하고 부담 없이 쓸 수 있어 좋습니다.  향도 딱히 없고, 제형도 평범했습니다.",4
"이건정말 안질릴 로션이에요!!!!
무난하고 순하고!! 촉촉하고!! 넘죠탕!!
로션만 쓰고있는데 기회되면 리뉴얼된 이 제품라인 다 써보고싶네요 ㅋㅋㅋ",5
흡수 뭔데 이렇게 잘 되십니까? ,5
"이거진짜최고ㅠㅠ
홀리카이제품처음쓰고반해서
좋아하는브랜드가되었다죠ㅠㅠ
요라인전부다짱짱입니다ㅠㅜ",5
"수부지인데, 여름에 수분크림대신으로 여러번덧발라줬어요!! 크림은 좀 무거워서 여름에 쓰긴 힘들었는데, 요거는 가벼운데도 굉장히 촉촉해서 좋았습니다!
이제품도 단종이라 아쉽네요ㅠㅠ",4
"그냥그냥무난무난잘써용
잉 근데 왜 단종이죠ㅜ",3
"이게 좋은가요..? 진짜 개기름 줄줄인데ㅜㅜ
이제 겨울이라 또 모르겠네요 똑같을 것 같긴 하지만ㅋㅋ",2
진짜 물물 스럽고 진짜 좋아요,5
"엥 이거 단종이에요? 아직 쓰고 있는데
성분도 괜찮고 막 바르기에도 나쁘지 않아서
다 쓴 다음에 괜찮은 거 없으면 또 써볼 의향도 있었는뎅.. 단종이 단점이네요 ㅋㅋㅋ",4
"굉장히 기름져서 가을, 겨울에 사용해도 좋을 듯함 성분도 순한 듯 함 근데 단종이 되어버렸네…",4
"왜 때문에 단종..??!! 
향 상큼하고 유분있나 싶었는데 촉촉부들하게 흡수되던데....",4
크림만큼 그렇게 짱짱은 아니였지만 무난하게 쓸만합니다. 토너랑 쓰면 좋긴좋은데 조금 건조하더라구요ㅜㅜ,4
"아니 이게 단종됐다니 홀리카 이게 어떻게된 일이니....??
나 평생 여기에 정착 예정이었는데..........,,,
여름에 바르기에 딱좋음
그냥 로션의 정석!!! 같은 느낌임
싹 흡수되면서 전혀 끈적거림 1도없이 건조함도 1도 없이
그냥 이 느낌을 설명하자면 완 벽 함....
단종.....안돼....다메요..",5
저한테는 약간 무거운 느낌이었어요. 같은 굳세라 라인의 토너도 점성이 있는 스킨이라서 함께 바르면 조금 두껍더라구요. 그래도 얼굴에 딱히 트러블이 더 올라오거나 하지는 않았어서 겨울에 토너랑 같이 바르기에 좋은 것 같아요 ,3
"두통 째 쓰고 있어요 
처음에 토너랑 같이 사려고 했는데 토너 성분이 별로라 에멀전만 구입했어요 순하고 촉촉해서 저는 좋았습니다!",4
이라인 토너랑 같이 썼을땐 괜찮은데 단독사용이나 다른 제품이랑은 안맞는거같아요 기름져요 번들번들하고... 저같은 지성은 겨울에도 심하게 번들번들... 토너만 재구매예정..,3
"수분부족 지성이라서 여름에 쓰기엔 조금 기름지지만 여름을 제외한 봄,가을,겨울에 쓰기엔 괜찮은 제품!하지만 다른것들도 한번써보고 재구매를 할것같은 제품!!!!",4
완전 민감성피부인데 순하고 좋은거같아요! 여름에쓰기는 조금기름지는 느낌이 있어서 겨울에쓰기 딱좋아요!!!!ㅎㅎ민감피부인사람들한테 추천~!,4
"글픽 럭키박스 당첨돼서 쓰고 있습니다!
좋은데요..??? 진짜 좋아요 
촉촉히 스며들어 끈적이지도 않고 보습도 잘 됩니다
생강 향도 그냥 쎄한 느낌이라 신경 안쓰는 데
이번 럳키박스 당첨된 애들 전부 인생템.. 각..
트러블 없고 피부 좋아졌다고 어무니가 그러셨는데
그럼 진짜 좋은 겁니다..
재구매 할거예요!!",5
단점도 없고 장점도 없는?? 가격도 나쁘지않은 로션이라 뭐살지고민되시는분은 일단 저거 사보시는것도 나쁘진않을듯해요ㅎㅎ,5
"그저 그렇다 재구매 의사 없고 차라리 다른 제품의 로션을 사겠다 딱히 별다른 장점도 없다 별로라기엔 딱히 단점은 모르겠어서 쏘쏘를 주었다
내용물의 질감이 갠적으로 맘에 들진 않는다
산뜻한것도 아니고 약간 미끄덩거리는 느낌이 든다 꾸덕한것도 아니다
진짜 그냥 쓰는 제품..",3
"이 로션 썼을 때 화장은 진짜 잘먹었는데 ㅜㅜ
꼭 피부 뒤집어지구 좁쌀 잔뜩 나더라구요,,
그래서 2주정도 안 쓰다가 혹시나 하고 썼더니
또 뒤집어지더군요 훙 ㅜ
근데 리뷰들 순하고 좋다고 하시는 거 보면
저처럼 안 맞는 분들 빼곤 순하나봐여
샘플 써보고 사시길 ㅎ ㅎ,,
갠적으로 트러블만 아니면 쓰고 싶은 제품 ㅜㅜ",2
진짜 최고의 로션!! 건성이라 맨날 오일리한 로션만 썼는데.. 이렇게 수분감 있으면서 담백하게 잘 흡수되는 로션은 첨이네요 그리고 제가 아토피 피부인데 성분이 순해서 좋아요~~ 추천추천 여름도 겨울도 사계절 내내 쓸 수 있어요,5
이거 진짜 좋아용,4
"홀리카홀리카에서 화장품을 살 생각을 해본적없었는데
글로우픽에서 워낙 평이 좋길래 수딩젤과 요 굳세라 라인
미스트, 수분크림, 에멀전 이렇게 사용해봤는데
세가지 제품 다 너무 좋아요
크림을 쓰다가 조금 무겁게 느껴져서 
에멀전으로 바꿔봤는데요
정말 한결 가벼운데 촉촉하고 꿀템입니다 ㅎㅎ
세수하고 바르면 산뜻한 기분 굿굿",5
향이 독특해서 거부감 드는 사람도 있을꺼 같지만 지성이라면 여름에 이것만 바르면 유분감이 적당해서 좋음.,4
좋아요 뭐 안나고 촉촉합니다 원래 여드름 라인 쓰고있었는대 그것보다 훨신 촉촉해용,5
"확실히 약산성 제품이라 그런지 좋네요! 홀리카는 손이 잘 안가는 브랜드엿는데......토너랑 에멀전 둘다 가야겟어요!!!
사실 동생이 사서 저는 계속 일주일 이주일 뺏어쓰고잇는데 너무 좋아요",5
조아요 순하고 가볍고 괜춘해요 스킨 로션 다이거예요  근데 막 보습있고 그런건 기대 안 하시는게,4
리뷰대로 막 좋은건 아닌 것 같은데 나쁘진 않아요. 순하고 촉촉해요,4
순하고 처음엔 촉촉하다가 적당히 오일리하게 마무리됨. 세라마이드인만큼 질감도 굳,5
유수분을 잘 충전할 수 있어서 만족하며 세 통째 쓰고 있어용,4
한참 더울때 냉장고에 넣어두고 굳세라 스킨이랑 로션 딱 바르면 시원한데 흡수도 잘되서 진짜 촉촉하고 좋아요 ㅠㅠㅠㅜㅜ 세네통 쓰고있는데 진짜 인생템 ㅜㅜ,5
아침에 일어나선 항상 굿세라 스킨로션 씀 가볍고 무난하고,5
엄청 촉촉하지도 건조하지도 않았고 그냥 가볍게 바르기 좋은 것 같아요,3
건성인데 크림도 좋고 로션도 너무 좋아염,4
무난무난한 로션이에요 제형도 그냥 너무 꾸덕하지더 않고 너무 흐르지도 않고 딱 괜찮았어요 근데 굿굿인 이유는 너무 무난해서 딱히 엄청 좋았다라는게 없어요....,4
스킨도 좋은데 로션도 같이쓰면 촉촉해서 더 좋은것 같아요!,4
"스킨로션크림까지 굳세라로쓰고있어염
이거잘바르면 파데진짜잘먹음 만족",4
"일단 가격 착해서 좋아요
면세점에서 완전 저렴하게 샀어요
이런 타입 너무 좋은게 발랐을 때
무겁지도 답답하지도 않은 느낌이고
그렇다고 바르자마자 날아가는 느낌도
아니에요 제 피부타입에 딱 잘 맞아요
촉촉하게 가볍게 잘 스며들어요",5
